Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Input shape: (C=5, H=144, W=72)
Epoch: 21, Con Train Loss 1: 2.62, Con Train Loss 2: 2.62, Train Cycle Loss: 0.0028529396, Train Loss: 5.24, Con Valid Loss 1: 3.70, Con Valid Loss 2: 3.69, Valid Cycle Loss: 0.0041696643, Validation Loss: 7.39, Learning Rate: 1e-05
Epoch: 22, Con Train Loss 1: 2.62, Con Train Loss 2: 2.62, Train Cycle Loss: 0.0028254100, Train Loss: 5.24, Con Valid Loss 1: 3.70, Con Valid Loss 2: 3.70, Valid Cycle Loss: 0.0041300115, Validation Loss: 7.40, Learning Rate: 1e-05
Epoch: 23, Con Train Loss 1: 2.61, Con Train Loss 2: 2.61, Train Cycle Loss: 0.0028245985, Train Loss: 5.23, Con Valid Loss 1: 3.70, Con Valid Loss 2: 3.69, Valid Cycle Loss: 0.0040786380, Validation Loss: 7.39, Learning Rate: 1e-05
Epoch: 24, Con Train Loss 1: 2.61, Con Train Loss 2: 2.61, Train Cycle Loss: 0.0027955004, Train Loss: 5.22, Con Valid Loss 1: 3.71, Con Valid Loss 2: 3.70, Valid Cycle Loss: 0.0040737546, Validation Loss: 7.42, Learning Rate: 1e-05
Epoch: 25, Con Train Loss 1: 2.61, Con Train Loss 2: 2.61, Train Cycle Loss: 0.0027772034, Train Loss: 5.22, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.70, Valid Cycle Loss: 0.0040723566, Validation Loss: 7.42, Learning Rate: 1e-05
Epoch: 26, Con Train Loss 1: 2.61, Con Train Loss 2: 2.60, Train Cycle Loss: 0.0027497669, Train Loss: 5.21, Con Valid Loss 1: 3.71, Con Valid Loss 2: 3.70, Valid Cycle Loss: 0.0039835145, Validation Loss: 7.41, Learning Rate: 1e-05
Epoch: 27, Con Train Loss 1: 2.60, Con Train Loss 2: 2.60, Train Cycle Loss: 0.0027437004, Train Loss: 5.21, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039604848, Validation Loss: 7.44, Learning Rate: 1e-05
Epoch: 28, Con Train Loss 1: 2.60, Con Train Loss 2: 2.60, Train Cycle Loss: 0.0027356809, Train Loss: 5.20, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039782541, Validation Loss: 7.46, Learning Rate: 1e-05
Epoch: 29, Con Train Loss 1: 2.60, Con Train Loss 2: 2.60, Train Cycle Loss: 0.0027156675, Train Loss: 5.20, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039765564, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-06
Epoch: 30, Con Train Loss 1: 2.60, Con Train Loss 2: 2.60, Train Cycle Loss: 0.0027133898, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039850007, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-06
Epoch: 31, Con Train Loss 1: 2.60, Con Train Loss 2: 2.60, Train Cycle Loss: 0.0027181350, Train Loss: 5.20, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038894342, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-06
Epoch: 32, Con Train Loss 1: 2.60, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027154255, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0040043087, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-06
Epoch: 33, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027127985, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0040118638, Validation Loss: 7.45, Learning Rate: 1.0000000000000002e-06
Epoch: 34, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027121310, Train Loss: 5.19, Con Valid Loss 1: 3.71, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039583237, Validation Loss: 7.43, Learning Rate: 1.0000000000000002e-06
Epoch: 35, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027075836, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039980907, Validation Loss: 7.46, Learning Rate: 1.0000000000000002e-06
Epoch: 36, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027002836, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039118797, Validation Loss: 7.46, Learning Rate: 1.0000000000000002e-06
Epoch: 37, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027088715, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039594659, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-06
Epoch: 38, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027067514, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039063931, Validation Loss: 7.45, Learning Rate: 1.0000000000000002e-06
Epoch: 39, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027056395, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.70, Valid Cycle Loss: 0.0039452957, Validation Loss: 7.43, Learning Rate: 1.0000000000000002e-06
Epoch: 40, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027033481, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039426208, Validation Loss: 7.46, Learning Rate: 1.0000000000000002e-07
Epoch: 41, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027006936, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038811868, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-07
Epoch: 42, Con Train Loss 1: 2.59, Con Train Loss 2: 2.60, Train Cycle Loss: 0.0027015674, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039100494, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-07
Epoch: 43, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026986871, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039110679, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-07
Epoch: 44, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026966573, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039277595, Validation Loss: 7.46, Learning Rate: 1.0000000000000002e-07
Epoch: 45, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027055626, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038797000, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-07
Epoch: 46, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027008844, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039923667, Validation Loss: 7.47, Learning Rate: 1.0000000000000002e-07
Epoch: 47, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027012427, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039260543, Validation Loss: 7.44, Learning Rate: 1.0000000000000002e-07
Epoch: 48, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027005160, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038656695, Validation Loss: 7.45, Learning Rate: 1.0000000000000002e-07
Epoch: 49, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026953976, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039519348, Validation Loss: 7.43, Learning Rate: 1.0000000000000002e-07
Epoch: 50, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026853936, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039203550, Validation Loss: 7.43, Learning Rate: 1.0000000000000002e-07
Epoch: 51, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026946045, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039420567, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 52, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026972975, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038746356, Validation Loss: 7.44, Learning Rate: 1.0000000000000004e-08
Epoch: 53, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026963294, Train Loss: 5.19, Con Valid Loss 1: 3.71, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039058073, Validation Loss: 7.43, Learning Rate: 1.0000000000000004e-08
Epoch: 54, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026832060, Train Loss: 5.18, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039080539, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 55, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026889186, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039724043, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 56, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026971650, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.73, Valid Cycle Loss: 0.0039620151, Validation Loss: 7.47, Learning Rate: 1.0000000000000004e-08
Epoch: 57, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026923966, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039200697, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 58, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026957180, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039952085, Validation Loss: 7.47, Learning Rate: 1.0000000000000004e-08
Epoch: 59, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026971180, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039384311, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 60, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026981631, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.73, Valid Cycle Loss: 0.0039278816, Validation Loss: 7.47, Learning Rate: 1.0000000000000004e-08
Epoch: 61, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026932257, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039388622, Validation Loss: 7.44, Learning Rate: 1.0000000000000004e-08
Epoch: 62, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026970056, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038851296, Validation Loss: 7.43, Learning Rate: 1.0000000000000004e-08
Epoch: 63, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026898892, Train Loss: 5.19, Con Valid Loss 1: 3.71, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038738281, Validation Loss: 7.42, Learning Rate: 1.0000000000000004e-08
Epoch: 64, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026949853, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039467440, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
Epoch: 65, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027030703, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039414713, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 66, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026968969, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039572992, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 67, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026979997, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038937095, Validation Loss: 7.44, Learning Rate: 1.0000000000000004e-08
Epoch: 68, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026983051, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0040075029, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
Epoch: 69, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026927861, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039143499, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 70, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026933652, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.73, Valid Cycle Loss: 0.0039466089, Validation Loss: 7.47, Learning Rate: 1.0000000000000004e-08
Epoch: 71, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026949491, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039828164, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
Epoch: 72, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026895222, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039793309, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
Epoch: 73, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027047836, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039005052, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 74, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026838331, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.73, Valid Cycle Loss: 0.0039118949, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
Epoch: 75, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026917977, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.73, Valid Cycle Loss: 0.0039859747, Validation Loss: 7.47, Learning Rate: 1.0000000000000004e-08
Epoch: 76, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026918463, Train Loss: 5.18, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039593502, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
